Spine color,Height,Pages,Genre/sub,Feeling,Author (multiple only)
Black,7.75,430,Nonfiction/essay,Affection,Steinbeck 
Red 3,8.25,310,Fiction/children's ,Formative,LM Montgomery 
,,,,,
White,8,190,Fiction/modern,Relevant ,
Blue 3,8,144,Fiction/contemporary ,Affection,
White,8,152,Poetry,Affection,Stevie Smith
White,8,256,Fiction/modern,Reminiscence,Stevie Smith
Green 3,7.75,232,Fiction/modern,Huh,Stevie Smith
Blue 1,7.75,230,Fiction/children's ,Cringestalgia,Roald Dahl
Orange,8,248,Fiction/modern,Get rid of?,Kerouac
Blue 1,8.25,112,Nonfiction/essay,Affection,Natalia Ginzburg
White,8.5,146,Fiction/contemporary ,Cringestalgia,
Black,8.5,230,Nonfiction/essay,Read again,Bell hooks
White,8.5,304,Nonfiction/essay,I made that!/relevant,
White,8,280,Nonfiction/autobiography,Relevant?,
Multi,7.75,160,Fiction/contemporary ,Affection,
Brown 1,7.75,272,Nonfiction/autobiography ,Get rid of?,
Blue 1,8,128,Books about books,Read?,
Green 1,7.75,248,Fiction/modern classic,Read?,
Multi,8,412,Nonfiction/autobiography,Reminiscence,
Black,8,178,Fiction/modern,Affection,Joyce Johnson
Black,8,422,Fiction/modern,Get rid of,
Multi,8,204,Nonfiction/essays,Meh,
Gray,7.5,144,Fiction/contemporary ,I made that!,
White,8,214,Fiction/modern classic,Get rid of,
Red 2,8,310,Fiction/contemporary,I made that!,
Blue 1,8,146,Fiction/contemporary ,Crimgestalgia,
White,8,288,Fiction/modern,Get rid of,
Black,7.75,156,Fiction/modern classic,Affection,
Brown 1,9,248,Drama,Meh,
Black,9,386,Fiction/modern,Someday,
Green 2,9,352,Nonfiction/oral history,Reminiscence,
Black ,9,266,Nonfiction,Meh,
White,8,160,Fiction/modern,Read again,
Gray,8,370,Nonfiction/essay,Formative,E.B. White
Blue 2,8,248,Fiction/contempoary,Someday ,
Brown 2,8,252,Fiction/modern classic,Reminiscence,
White,7.75,238,Nonfiction/autobiography ,Formative ,Joyce Johnson 
Bronze ,8,330,Fiction/modern,Forgot all about this,
Green 1,8,132,Fiction/modern,Hm,NYRB
Blue 3,8,144,Outdoor/how-to,Get rid of?,
Multi ,8,288,Mystery,Affection,Josephine Tey
Multi,8,224,Mystery,Meh,Josephine Tey
Orange 2,7.75,454,Fiction/contemporary ,Should read,Philip Kerr
Blue 3,8,388,Fiction/contemporary,Is this mine?,
Multi,8.25,220,Fiction/contemporary ,Someday,
Black,8.25,246,Books about books,Should read,
White,8,244,Fiction/modern,Someday,
White,8,284,Fiction/contemporary ,Affection,Bret Easton Ellis
White,8,406,Fiction/contemporary ,Meh,Bret Easton Ellis
White,8,120,Fiction/contemporary ,Hm,Ondaatje 
Multi,8,252,Nonfiction/autobigraphy,Meh,
Blue 1,8,230,Fiction/children's ,I have two of these?,Dahl
Green 3,8.25,224,Fiction/childrens,Formative „ in a bad way?,
Brown 1,7,192,Fiction/modern,Someday,Spark
Blue 3,5.75,176,Pictures/outdoor,Affection,
White,7.5,196,Fiction/postmodern classic,Reminiscence,
Brown 3,8,104,Fiction/contemporary ,Hm,
White,7.5,160,Nonfiction/reference,Hm,
Red 3,7.5,230,Nonfiction/instructional,Affection,
Yellow 2,8.25,242,Sports/surfing,Read again?,
Blue 3,8.5,588,Fiction/19th cent,Affection,Edith Wharton
Black,8,598,Fiction/modern,Hm,
White ,8,164,Poetry,Cringestalgia,Millay
Green 1,7.75,176,Poetry,Hm,Millay
Blue 1,8.25,98,Fiction/satire,Should read,Dover Thrift
Brown 1,8.25,68,Poetry,Hm,Dover Thrift
White,8.25,56,Poetry,Affection,Dover Thrift
Blue 3,8.25,230,Poetry,Nostalgia ,Dover Thrift
Gray,8,248,Fiction,Hm,
Black,8,734,Poetry,Reminiscence,
Blue 1,8.25,256,Poetry,Affection,
Multi,8.5,276,Nonfiction/essay,Read again,
Black,7.75,348,Fiction/19th cent,Hm,Edith Wharton
Blue 2,8.25,330,Fiction/children's ,Affection,LM Mongomery
Black,8.5,352,Fiction/modern classic,Rminiscence,Fitzgerald 
Multi,8.25,368,Nonfiction/autobiography ,Should read,
White,9,498,Nonfiction/history,Someday,
Gray,8.75,560,Sports/general,Reminiscence,
Gray,7.75,340,Nonfiction/autobiography ,Cringestalgia,
Blue 1,8,288,Nonfiction/essay,Remniscence,
Balck,8.5,190,Nonfiction/history,Reminiscence,
Blue 3,8.5,294,Nonfiction/history,Hm,
White,9.5,340,Fiction/children's ,Formative,Dahl
Orange 3,8.25,686,Fiction/modern,Hm,Dahl
Purple 1,8,206,Nonfiction/histoy,I made that!,
Multi,9.25,314,Nonfiction/history,Formative,
White,8,208,Fiction/modern,Hm,Spark
Black,8,136,Fiction/modern,Hm,Spark 
Red 3,8.5,476,Fiction/moderm,Formative ,Spark
Silver,7.5,182,Nonfiction/history,Newly relevant ,Solnit
Blue 2,8.25,312,Fiction/modern,Hm,
Black,8,178,Fiction/modern,Read again,Simenon/NYRB
Black,8,162,Fiction/modern,Hm,Simenon/NYRB
Silver,8.5,134,Fiction/contemporary ,Affection,
Black,9.5,404,Fiction/contemporary ,Reminiscence,
Copper,9.25,104,Comic/novel,I made that,
White ,8,320,Fiction/contemporary ,Affection,
White,9,298,Fiction/contemporary ,I made that,
Black,7.75,400,Fiction/18th cent,Meh,
White,7.5,192,Nonfiction/essays,Reminiscence,
White ,7.75,106,Fiction/18th cent,"Should read,",Flaubert
Multi,9.75,64,Nonfiction/children's/French ,Nostalgia ,
Blue 1,8.25,320,Nonfiction/essays,Get rid of?,Sontag
Blue 3,8,278,Fiction/modern,Get rid of,
Black,8.25,296,Mystery,Meh,
Black,9.25,402,Sports/basketball,A classic,
Red 3,8,166,Fiction/modern,Brand new!,Spark
Multi,8,230,Nonfiction/history,Brand new!,
Orange 3,9.25,256,Picture/book about books,Brand new!,
White,8.75,108,Nonfiction/autobiography ,Affection,De Beauvoir 
Multi,8.5,224,Fiction/modern,Formative,De Beauvoir 
Orange 1,8.5,220,Fiction/modern,Duplicate/affection,De Beauvoir 
Blue 3,8.25,792,Philospohy,Nostalgia ,De Beauvoir 
Red 3,8,408,Fiction/modern,Cringestalgia,De Beauvoir 
Brown 2,8,162,Philosophy ,Formative,De Beauvoir 
Multi,9.5,484,Nonfiction/history,Affection,Mike Davis 
Brown 1,9.5,546,Nonfiction/history,Hm,
